video_id;comment_id;comment;comment_likes
eWRfhZUzrAc;1;"If you just want a summary, learn all Python syntax in 25 minutes: <a href=""https://www.youtube.com/watch?v=PNSIWjWAA7o"">https://youtu.be/PNSIWjWAA7o</a>";292
eWRfhZUzrAc;2;replit looks different in 2025;0
eWRfhZUzrAc;3;"<a href=""https://www.youtube.com/watch?v=eWRfhZUzrAc&amp;t=2539"">42:19</a> its a great course but these are called colons";0
eWRfhZUzrAc;4;"Wow! This Python playlist is absolutely amazing! ?? It covers everything from the basics to advanced topics, and the explanations are super clear and easy to understand. As a python developer, I’m really appreciating how well-structured the lessons are. Can’t wait to dive into more videos and master Python! ???? Thanks for putting this together! <br>Highly recommend this to anyone wanting to learn Python! ?? <br><a href=""http://www.youtube.com/results?search_query=%23python"">#Python</a> <a href=""http://www.youtube.com/results?search_query=%23learnpython"">#LearnPython</a> <a href=""http://www.youtube.com/results?search_query=%23programming"">#Programming</a>";0
eWRfhZUzrAc;5;"<a href=""https://www.youtube.com/watch?v=eWRfhZUzrAc&amp;t=2630"">43:50</a><br><a href=""https://www.youtube.com/watch?v=eWRfhZUzrAc&amp;t=4765"">1:19:25</a>";0
eWRfhZUzrAc;6;"<a href=""https://www.youtube.com/watch?v=eWRfhZUzrAc&amp;t=1008"">16:48</a> day one first lesson";0
eWRfhZUzrAc;7;"<a href=""https://www.youtube.com/watch?v=eWRfhZUzrAc&amp;t=991"">16:31</a> when run, error SyntaxError: unterminated string literal (detected at line 10)<br>How did I fix it? # comment line";0
eWRfhZUzrAc;8;Good video??;0
eWRfhZUzrAc;9;???????? ?????!;0
eWRfhZUzrAc;10;"Hi! I just started the video lesson, and up to the point I’ve reached (<a href=""https://www.youtube.com/watch?v=eWRfhZUzrAc&amp;t=1010"">16:50</a>), I’ve noticed something frustrating. Every time I type the code from the lesson into Replit, the autocomplete feature instantly suggests the entire completed line. It’s like it’s seen this code typed so many times that it already knows what I’m going to write! This makes it hard to practice writing things on my own because the answers are always handed to me.";0
eWRfhZUzrAc;11;Today i am 14 and doing this for fun;0
eWRfhZUzrAc;12;"day 1 <a href=""https://www.youtube.com/watch?v=eWRfhZUzrAc&amp;t=2430"">40:30</a>";0
eWRfhZUzrAc;13;"<a href=""https://www.youtube.com/watch?v=eWRfhZUzrAc&amp;t=9206"">2:33:26</a>";0
eWRfhZUzrAc;14;the first 45 minutes did not feel like a beginner course at all;0
eWRfhZUzrAc;15;"<a href=""https://www.youtube.com/watch?v=eWRfhZUzrAc&amp;t=2003"">33:23</a>";0
